gender,region,edu,income,age,score_gov,score_progress,score_intention,vote,parties
male,Youngnam,3,3,3,2,2,4.0,1,2
male,Others,2,3,3,2,4,3.0,0,3
male,Honam,1,2,4,1,3,2.8,1,4
female,Sudo,2,1,3,5,4,2.6,1,1
male,Sudo,1,2,4,4,3,2.4,1,1
male,Sudo,1,2,4,1,4,3.8,1,2
male,Sudo,1,2,4,4,4,2.0,1,1
male,Others,2,4,4,3,4,3.6,1,3
male,Chungcheung,1,2,4,2,2,2.0,0,2
male,Sudo,1,2,3,4,2,3.0,1,1
male,Sudo,1,2,3,2,4,2.2,0,2
female,Youngnam,1,1,3,3,2,2.6,1,1
male,Others,1,2,4,3,2,3.0,1,1
male,Chungcheung,2,4,4,3,3,2.4,1,3
male,Youngnam,3,4,3,3,4,3.6,1,3
male,Sudo,2,3,3,3,3,3.2,1,4
male,Others,2,4,3,4,3,4.0,1,4
female,Sudo,2,2,3,5,4,2.6,1,1
female,Honam,1,2,2,3,2,3.0,0,4
female,Others,3,4,3,3,3,3.0,1,1
male,Sudo,1,1,2,3,3,2.0,0,2
female,Sudo,3,2,2,3,4,2.2,1,4
female,Youngnam,2,2,2,3,3,1.4,1,4
male,Sudo,1,3,3,3,4,1.6,1,4
male,Youngnam,2,3,3,3,2,3.6,1,2
male,Sudo,2,2,2,3,2,3.2,1,4
female,Sudo,2,3,2,3,4,2.8,1,1
female,Sudo,2,4,3,4,4,3.0,1,1
male,Sudo,1,3,3,1,2,3.0,1,2
female,Sudo,2,4,4,3,3,2.2,1,3
male,Sudo,1,3,3,2,2,2.4,1,2
male,Chungcheung,3,3,4,3,4,2.8,1,2
male,Chungcheung,2,4,4,3,3,3.6,0,4
male,Others,2,4,4,5,5,3.2,1,1
male,Chungcheung,2,4,3,3,3,3.2,1,4
male,Sudo,2,4,2,5,3,2.6,1,4
female,Honam,1,3,4,2,2,3.4,1,4
female,Sudo,2,2,3,3,3,2.2,0,4
male,Sudo,2,4,4,3,4,3.2,1,1
male,Sudo,1,3,4,2,2,3.0,0,4
male,Sudo,2,4,4,1,5,2.8,1,4
male,Honam,3,3,4,4,2,4.0,1,4
male,Sudo,1,1,1,3,3,1.2,0,4
female,Others,3,3,4,3,4,3.4,1,4
male,Sudo,1,3,3,3,3,4.4,0,1
male,Sudo,1,2,3,3,3,2.6,1,4
female,Youngnam,2,2,3,4,5,3.4,0,4
female,Honam,2,4,4,2,2,3.0,1,4
female,Honam,2,2,2,5,4,3.0,1,1
male,Chungcheung,1,3,4,3,2,2.6,0,4
male,Youngnam,3,3,3,2,2,3.4,1,2
male,Sudo,2,4,3,4,5,1.8,1,1
female,Youngnam,2,2,2,2,3,3.4,0,3
male,Chungcheung,3,3,4,2,4,3.2,1,2
male,Youngnam,2,1,4,3,2,3.0,1,2
male,Sudo,2,1,2,3,3,3.0,1,2
female,Youngnam,2,2,4,4,2,2.6,1,4
female,Honam,2,2,2,5,4,3.6,0,3
male,Sudo,3,3,3,4,4,3.2,1,1
male,Sudo,2,3,3,4,4,3.0,0,2
male,Others,1,3,3,3,4,3.0,1,3
female,Sudo,1,1,4,3,2,3.4,1,2
male,Sudo,1,2,4,1,1,2.6,1,2
male,Sudo,2,2,3,3,3,2.2,1,4
female,Sudo,2,2,4,2,3,2.6,0,2
female,Honam,2,4,3,2,2,1.8,1,4
female,Sudo,2,1,4,4,2,3.0,1,4
male,Youngnam,3,4,3,1,2,2.0,1,2
female,Youngnam,2,4,2,3,3,2.4,0,4
female,Youngnam,2,3,2,2,2,3.8,0,2
female,Sudo,2,4,4,3,3,2.0,0,4
male,Others,2,2,2,3,2,2.0,1,2
male,Chungcheung,2,2,2,5,4,3.4,0,1
male,Sudo,2,4,2,4,3,4.6,1,1
male,Sudo,2,3,3,2,2,4.2,1,3
male,Youngnam,3,3,2,4,4,3.0,1,1
male,Youngnam,3,2,3,3,3,2.8,1,4
male,Sudo,2,3,3,3,4,3.0,1,4
male,Youngnam,3,4,4,1,2,3.0,1,2
male,Honam,2,3,2,5,4,3.2,1,3
male,Sudo,2,3,3,3,5,3.6,1,1
male,Honam,2,2,2,3,3,2.2,0,4
male,Sudo,2,3,3,3,2,4.0,1,2
male,Youngnam,2,2,3,3,4,2.6,1,4
male,Sudo,2,2,2,1,2,3.4,1,2
male,Honam,1,3,3,4,4,2.4,1,1
male,Others,3,4,3,3,5,2.8,1,2
male,Sudo,2,2,3,3,3,4.2,1,4
male,Sudo,3,4,4,3,4,3.6,1,3
male,Sudo,2,1,2,3,5,3.8,1,3
male,Sudo,3,4,3,5,2,1.0,1,2
male,Sudo,3,4,3,5,3,1.4,0,1
female,Sudo,2,3,2,3,4,1.8,1,4
male,Chungcheung,3,3,2,4,4,2.6,1,3
male,Sudo,3,3,3,4,4,3.2,1,3
male,Sudo,2,3,2,2,3,3.2,0,4
female,Youngnam,3,2,2,2,3,3.0,0,2
male,Youngnam,3,3,3,2,1,2.4,1,2
male,Sudo,2,3,2,4,4,2.4,1,4
male,Sudo,2,3,3,4,4,3.2,1,3
male,Sudo,2,2,3,2,2,3.2,1,1
male,Sudo,3,3,3,4,4,2.4,1,1
male,Youngnam,2,3,3,3,4,1.0,1,3
male,Chungcheung,3,3,3,5,4,3.2,1,1
male,Others,3,4,3,3,3,3.2,1,3
male,Honam,2,3,3,4,4,3.0,1,3
male,Youngnam,2,2,2,3,3,2.4,0,4
female,Sudo,2,2,3,3,3,2.0,1,4
male,Sudo,2,3,2,2,1,3.0,0,2
male,Sudo,2,3,3,4,4,2.0,1,1
male,Sudo,2,3,3,4,4,2.6,1,1
female,Youngnam,1,1,2,2,2,3.2,0,2
female,Sudo,2,2,2,3,3,3.8,1,2
male,Others,2,3,2,4,3,3.4,0,1
female,Honam,2,2,2,3,3,2.0,0,4
female,Sudo,2,3,2,3,3,4.0,1,4
female,Sudo,3,1,2,4,4,3.8,1,4
male,Youngnam,2,1,2,3,3,3.2,1,4
male,Sudo,2,3,4,3,3,2.2,0,4
male,Youngnam,1,1,2,4,3,2.0,1,1
male,Chungcheung,1,1,2,4,4,3.2,1,1
male,Sudo,2,1,2,3,4,3.2,0,4
male,Sudo,2,1,2,1,1,4.6,1,2
male,Sudo,1,1,2,4,4,2.8,1,1
male,Sudo,1,1,2,2,2,2.2,1,4
